code,processed_code
print Ze is bang dat het een spookbos is ,print % is % % % % % is 
ask wie de hoofdpersoon is,ask % % % is 
"echo is Sofie
print ask gaat wandelen 
",% is % print ask % % 
"echo is Sofie
print gaat wandelen 
",% is % print % % 
"print hoofdpersoon is Sofie
print ze gaat wandelen
",print % is % print % % % 
"print morgen ben je jarig
ask Hoe oud word je?
echo dus je wordt jaar oud",print % % % % ask % % % % % % % % % % 
"print morgen ben je jarig
ask Hoe oud word je?
echo dus je wordt",print % % % % ask % % % % % % % % 
"print Hallo welkom bij Hedy!
ask Wat is je lieveringskleur?
echo lievelingskleur
",print % % % % ask % is % % % % 
"print Hallo welkom bij Hedy!
ask hou je van voetbal?
echo dus je houdt heel erg van voetbal!",print % % % % ask % % % % % % % % % % % % 
"print Hallo welkom bij Hedy!
print School is stom
",print % % % % print % is % 
"ask Wie is de hoofdpersoon van jouw verhaal?
echo is alleen in het bos aan het lopen
print De hoofdpersoon hoort een enge schreeuw
",ask % is % % % % % % is % % % % % % % print % % % % % % 
"ask Wie is de hoofdpersoon van jouw verhaal?
echo  alleen in het bos aan het lopen
print De hoof",ask % is % % % % % % % % % % % % % print % % 
"print hallo wereld!
print hallo wereld!
print Wat een kut programma!
",print % % print % % print % % % % 
"print hallo ik ben Marleen
ask Wat is je lievelingskleur
echo Dus jouw lievelingskleur is ",print % % % % ask % is % % % % % % is 
"ask Wil jij een spelletje met me doen?
print steen, papier en schaar",ask % % % % % % % print % % % % 
"print steen papier schaar!
print de steen verslaatschaar",print % % % print % % % 
"print steen papier schaar!
print de steen verslaat schaar",print % % % print % % % % 
"print steen papier schaar!
print de steen verslaat schaar
print het papier verslaat steen
print schaar verslaat papier",print % % % print % % % % print % % % % print % % % 
"print steen papier schaar!
print de steen verslaat schaar
print het papier verslaat steen
print schaar verslaat papier
print wie als eerst 3 keer heeft gewonnen wint",print % % % print % % % % print % % % % print % % % print % % % % % % % % 
"print fakka
ask hoe is et dannn",print % ask % is % % 
"print hallo
ask hoe gaat het 
print aii
ask hoe gaat het",print % ask % % % print % ask % % % 
"print hoi
ask wat is jullie lievelings dier?",print % ask % is % % % 
"ask wat is jullie lievelings dier?
ask wat is jullie lievelings eten?",ask % is % % % ask % is % % % 
"ask Wil jij een spelletje met me doen?
echo dus je wilt he tniet
",ask % % % % % % % % % % % % % 
"ask Wil jij een spelletje met me doen?
echo dus je wilt he tniet
ask waarom niet?
",ask % % % % % % % % % % % % % ask % % 
"ask Wil jij een spelletje met me doen?
echo dus je wilt he tniet
ask waarom niet?
echo
",ask % % % % % % % % % % % % % ask % % % 
"ask Wil jij een spelletje met me doen?
echo dus je wilt he tniet
ask waarom niet?
echo jammer
",ask % % % % % % % % % % % % % ask % % % % 
"print Hallo minecraft is leuk
",print % % is % 
"print steen, papier schaar.
print papier",print % % % print % 
"ask Wil jij een spelletje met me doen?
print hallo",ask % % % % % % % print % 
"print hallo
ask Welke kleur is de achtergrond?
echo Print dus de achtergrond is",print % ask % % is % % % % % % % is 
"print hallo
ask Welke kleur is de achtergrond?
echo dus de achtergrond is ",print % ask % % is % % % % % % is 
